ID,S1P1,S1P2,S1P3,S1S1,S1S2,S1S3,S1E1,S1E2,S1E3,S1E4,S1E5,S1E6,S1E7,S1E8,S1I1,S1I2,S1I3,S2P1,S2P2,S2P3,S2S1,S2S2,S2S3,S2E1,S2E2,S2E3,S2E4,S2E5,S2E6,S2E7,S2E8,S2I1,S2I2,S2I3,S3P1,S3P2,S3P3,S3S1,S3S2,S3S3,S3E1,S3E2,S3E3,S3E4,S3E5,S3E6,S3E7,S3E8,S3I1,S3I2,S3I3,S4P1,S4P2,S4P3,S4S1,S4S2,S4S3,S4E1,S4E2,S4E3,S4E4,S4E5,S4E6,S4E7,S4E8,S4I1,S4I2,S4I3
1,4,4,5,5,4,5,5,4,4,4,5,5,5,5,4,4,1,3,3,4,3,2,5,4,4,3,3,5,5,5,3,2,2,2,2,4,3,5,4,5,4,5,4,4,4,5,4,4,3,3,2,4,2,3,4,4,5,2,3,2,2,3,2,2,1,3,2,2
2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,1,2,3,1,4,5,5,5,5,4,3,3,5,5,5,2,3,2,4,4,4,2,2,4,1,1,1,3,3,1,1,1,2,2,2
3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,2,3,3,4,4,4,4,4,4,3,4,4,5,5,3,3,2,1,2,1,3,5,5,3,3,3,5,4,5,3,2,2,3,2
4,3,4,5,5,5,5,4,5,4,5,5,5,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,3,4,4,4,5,5,4,5,5,4,5,4,2,2,2,3,3,4,4,5,5,3,3,3,4,4,2,2,2,2,2,2
5,3,3,4,5,5,4,5,4,3,4,5,5,5,4,4,4,1,3,3,3,3,3,3,4,4,3,4,4,5,5,5,3,3,1,3,4,4,4,4,4,5,4,4,5,5,5,5,4,4,4,1,2,2,4,4,4,5,2,2,2,3,5,1,1,1,2,2,2
6,3,3,4,4,3,4,5,5,3,4,4,4,2,4,4,4,1,2,3,4,2,2,4,5,5,5,5,5,4,5,4,2,2,2,3,3,2,5,5,5,5,5,3,4,4,5,5,3,4,3,1,3,4,4,5,5,5,1,1,2,2,2,1,1,1,3,3,2
7,4,4,5,5,5,5,5,5,3,3,4,5,5,5,4,3,1,3,4,4,2,3,4,4,3,4,4,4,4,4,4,4,3,1,3,3,3,5,5,5,4,5,3,5,5,5,5,3,3,3,1,5,4,5,5,5,5,1,1,2,4,5,2,2,1,3,3,1
8,4,5,3,5,5,4,5,5,4,4,5,5,5,5,4,4,1,3,3,2,2,2,3,4,5,5,3,4,5,5,5,4,3,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,1,1,2,3,3,2,4,4,5,3,4,4,4,3,2,1,1,3,4,2
9,3,4,3,3,3,4,4,5,3,5,4,5,5,5,4,4,1,1,4,3,2,3,4,3,4,4,4,4,5,5,4,2,2,2,2,3,3,2,3,4,5,5,5,5,5,5,5,3,3,3,2,1,4,3,5,5,4,2,3,4,3,4,1,1,2,2,2,2
10,3,4,4,3,3,4,4,5,4,3,5,4,4,2,3,4,1,4,3,4,2,2,3,4,4,3,5,5,5,5,5,3,2,2,3,3,4,4,4,5,4,4,3,4,4,4,3,3,4,3,2,3,3,2,3,3,4,2,2,3,3,3,2,2,1,2,2,2
11,3,4,3,3,4,4,5,5,5,4,5,5,5,4,3,4,1,5,5,5,1,1,2,4,4,3,3,4,3,5,4,2,1,2,2,3,2,4,5,5,4,4,3,1,5,4,3,3,2,2,2,4,2,4,4,5,5,3,3,4,3,3,1,1,2,4,3,1
12,3,3,4,4,4,4,5,4,4,3,4,4,5,4,4,4,1,4,4,3,2,2,1,5,5,4,4,4,4,3,3,3,4,1,2,3,3,3,4,4,3,4,3,3,3,3,4,4,2,2,2,3,3,3,3,3,3,2,2,2,2,2,1,1,2,4,4,1
13,4,5,3,4,4,2,5,5,3,4,4,3,3,5,4,3,1,3,5,3,3,2,2,5,4,2,3,3,4,4,4,3,3,1,1,3,2,4,4,4,5,4,4,4,4,5,4,4,2,2,2,3,2,3,3,3,2,1,1,2,2,4,1,1,1,1,1,2
14,3,4,4,3,4,4,4,3,4,4,3,5,5,3,4,4,1,2,3,4,2,2,3,4,4,2,2,2,4,4,3,2,3,1,4,5,3,5,5,5,5,4,4,5,4,5,5,5,4,4,1,2,2,3,5,4,5,1,2,2,3,3,1,2,1,1,2,2
15,4,3,4,4,4,4,5,4,4,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,3,4,4,3,3,3,4,3,1,2,3,3,5,5,5,5,4,5,4,5,5,5,3,3,2,2,2,1,2,4,4,3,3,3,2,3,3,1,1,1,2,2,2
16,3,3,3,5,4,5,5,5,5,4,4,5,5,4,4,4,1,3,4,5,5,5,5,5,5,4,5,4,5,5,5,4,3,1,2,3,3,3,3,3,4,4,3,3,3,3,4,4,2,2,2,2,1,3,3,3,3,3,3,2,3,3,1,1,1,2,2,2
17,3,4,3,4,4,3,5,5,5,5,5,5,4,5,4,4,1,2,5,2,3,3,4,5,5,3,4,4,5,5,4,4,3,2,2,4,2,5,5,5,5,5,4,5,5,5,5,5,4,3,2,3,2,2,4,5,4,2,3,3,3,4,3,3,1,3,2,2
18,3,5,3,4,5,4,5,5,4,3,5,5,5,5,4,4,1,3,5,3,1,1,2,5,5,5,5,5,5,4,3,3,4,1,1,4,4,5,5,4,5,5,3,4,5,5,4,2,1,1,2,4,4,5,5,3,2,5,1,2,4,5,1,1,1,3,3,2
